,PFMA,YEAR,Kept Legal,Released Legal,Released Sub-Legal,total
1,PFMA 12,2000,1487,NA,NA,1487
2,PFMA 12,2001,730,29,NA,759
3,PFMA 12,2002,76,NA,8,84
4,PFMA 12,2003,343,146,8,497
5,PFMA 12,2004,168,8,NA,176
6,PFMA 12,2005,391,73,30,494
7,PFMA 12,2006,532,167,NA,699
8,PFMA 12,2007,334,39,6,379
9,PFMA 12,2008,570,103,4,677
10,PFMA 12,2009,320,149,NA,469
11,PFMA 12,2010,539,132,NA,671
12,PFMA 12,2011,415,195,21,631
13,PFMA 12,2012,338,177,570,1085
14,PFMA 12,2013,146,122,NA,268
15,PFMA 12,2014,168,114,NA,282
16,PFMA 12,2015,320,153,NA,473
17,PFMA 12,2016,222,77,NA,299
18,PFMA 12,2017,358,80,NA,438
19,PFMA 12,2018,364,90,NA,454
20,PFMA 12,2019,NA,117,NA,117
21,PFMA 13,2000,380,5,NA,385
22,PFMA 13,2001,762,15,NA,777
23,PFMA 13,2002,183,NA,NA,183
24,PFMA 13,2003,4,NA,NA,4
25,PFMA 13,2004,64,NA,NA,64
26,PFMA 13,2005,79,36,NA,115
27,PFMA 13,2006,62,NA,NA,62
28,PFMA 13,2007,89,NA,NA,89
29,PFMA 13,2008,42,NA,NA,42
30,PFMA 13,2009,63,NA,NA,63
31,PFMA 13,2010,15,18,NA,33
32,PFMA 13,2011,151,19,NA,170
33,PFMA 13,2012,104,11,NA,115
34,PFMA 13,2013,100,144,NA,244
35,PFMA 13,2014,82,14,NA,96
36,PFMA 13,2015,247,19,NA,266
37,PFMA 13,2016,51,37,NA,88
38,PFMA 13,2017,45,29,NA,74
39,PFMA 13,2018,157,1,NA,158
40,PFMA 13,2019,0,83,NA,83
41,PFMA 14,2000,377,17,NA,394
42,PFMA 14,2001,1189,142,NA,1331
43,PFMA 14,2002,1498,230,NA,1728
44,PFMA 14,2003,103,7,NA,110
45,PFMA 14,2004,1674,17,NA,1691
46,PFMA 14,2005,143,97,NA,240
47,PFMA 14,2006,179,513,NA,692
48,PFMA 14,2007,16,NA,NA,16
49,PFMA 14,2008,89,4,NA,93
50,PFMA 14,2009,52,NA,NA,52
51,PFMA 14,2010,240,28,10,278
52,PFMA 14,2011,382,35,NA,417
53,PFMA 14,2012,199,1,NA,200
54,PFMA 14,2013,393,215,NA,608
55,PFMA 14,2014,92,NA,NA,92
56,PFMA 14,2015,187,14,NA,201
57,PFMA 14,2016,716,8,NA,724
