"","M","h","nll","B_BMSY"
"1",0.02,0.65,502.118258936423,0.321568333776299
"2",0.03,0.65,493.94291034324,0.650093123661388
"3",0.04,0.65,490.902918374189,1.08063957695225
"4",0.05,0.65,489.288781119659,1.57348970539212
"5",0.06,0.65,488.092924381158,2.07412584098299
"6",0.02,0.66,502.07834387612,0.33010777458334
"7",0.03,0.66,493.978596944804,0.66617541983659
"8",0.04,0.66,490.949013445235,1.10428741141899
"9",0.05,0.66,489.32227637349,1.60325396644625
"10",0.06,0.66,488.112050381014,2.10871510500027
"11",0.02,0.67,502.042652043729,0.338529114357746
"12",0.03,0.67,494.015292187501,0.682505654537183
"13",0.04,0.67,490.994448764522,1.12826106767386
"14",0.05,0.67,489.354821424035,1.6334210721934
"15",0.06,0.67,488.130505046235,2.14388575062463
"16",0.02,0.68,502.010315856856,0.346789769443298
"17",0.03,0.68,494.052892922708,0.699126733038461
"18",0.04,0.68,491.039216307281,1.15260573599875
"19",0.05,0.68,489.386451258705,1.66402790816111
"20",0.06,0.68,488.14832169958,2.17972990877612
"21",0.02,0.69,501.981103822768,0.355249551117935
"22",0.03,0.69,494.091304169391,0.716019393774193
"23",0.04,0.69,491.083310498841,1.17728751907534
"24",0.05,0.69,489.417199428628,1.69514618762587
"25",0.06,0.69,488.165531572376,2.21631526924046
"26",0.02,0.7,501.954938365791,0.363934972428903
"27",0.03,0.7,494.130438325666,0.733218191553128
"28",0.04,0.7,491.126726338289,1.20230001457598
"29",0.05,0.7,489.447098248949,1.72680679110118
"30",0.06,0.7,488.182164017284,2.25364799686224
"31",0.02,0.71,501.93175838247,0.372881017667803
"32",0.03,0.71,494.170214558027,0.750729975128409
"33",0.04,0.71,491.169428281421,1.22754168068936
"34",0.05,0.71,489.476178688684,1.75903895276359
"35",0.06,0.71,488.198246589703,2.29183212868976
"36",0.02,0.72,501.911635527269,0.382469577403928
"37",0.03,0.72,494.210558102671,0.768591268448564
"38",0.04,0.72,491.211406571778,1.25324631546148
"39",0.05,0.72,489.50447049118,1.79193780999468
"40",0.06,0.72,488.21380516565,2.33099899204394
"41",0.02,0.73,501.895035265031,0.392572010793274
"42",0.03,0.73,494.251399714856,0.786817824242333
"43",0.04,0.73,491.252667861819,1.27943416046955
"44",0.05,0.73,489.532002196817,1.82553237230664
"45",0.06,0.73,488.228864130584,2.37119384146586
"46",0.02,0.74,501.881864559249,0.402911814684095
"47",0.03,0.74,494.292675267818,0.805412067004312
"48",0.04,0.74,491.293219702367,1.30617059598459
"49",0.05,0.74,489.558801185555,1.85992392519581
"50",0.06,0.74,488.243446396076,2.41251008669798
"51",0.02,0.75,501.871969738162,0.413502964686198
"52",0.03,0.75,494.334325141947,0.824423608877932
"53",0.04,0.75,491.333070440038,1.33348292568108
"54",0.05,0.75,489.584893718294,1.89519292554021
"55",0.06,0.75,488.257573564889,2.45511122700067
